SIG_CD,SIG_KOR_NM,price,price_ch
41111,수원시 장안구,28500,13
41113,수원시 권선구,26500,10
41115,수원시 팔달구,31500,26
41117,수원시 영통구,31500,22
41131,성남시 수정구,59500,88
41133,성남시 중원구,47550,61
41135,성남시 분당구,84500,68
41150,의정부시,24800,11
41171,안양시만안구,37100,31
41173,안양시동안구,45500,29
41190,부천시,35000,22
41210,광명시,47000,48
41220,평택시,24600,20
41250,동두천시,13700,6
41271,안산시상록구,23800,-3
41273,안산시단원구,27850,0
41281,고양시덕양구,33300,16
41285,고양시일산동구,36000,8
41287,고양시일산서구,33650,12
41290,과천시,131000,68
41310,구리시,45000,47
41360,남양주시,28500,21
41370,오산시,23300,3
41390,시흥시,23500,9
41410,군포시,32000,14
41430,의왕시,37650,17
41450,하남시,67500,73
41461,용인시처인구,25200,36
41463,용인시기흥구,35000,9
41465,용인시수지구,53000,27
41480,파주시,28500,17
41500,이천시,18500,3
41550,안성시,11098,-13
41570,김포시,35300,34
41590,화성시,30300,27
41610,광주시,29000,12
41630,양주시,18500,12
41650,포천시,14800,10
41670,여주시,14050,-5
41800,연천군,10000,2
41820,가평군,19600,10
41830,양평군,26250,20
11110,종로구,69000,35
11140,중구,86000,63
11170,용산구,129500,77
11200,성동구,96350,95
11215,광진구,93500,71
11230,동대문구,63800,68
11260,중랑구,48000,54
11290,성북구,63300,58
11305,강북구,53000,54
11320,도봉구,39700,34
11350,노원구,44000,60
11380,은평구,58000,53
11410,서대문구,67500,73
11440,마포구,89950,78
11470,양천구,66350,59
11500,강서구,61400,60
11530,구로구,50000,50
11545,금천구,42200,44
11560,영등포구,77000,84
11590,동작구,86000,66
11620,관악구,62000,62
11650,서초구,157500,56
11680,강남구,170900,75
11710,송파구,119800,73
11740,강동구,73625,59
28110,중구,28100,8
28140,동구,18300,2
28177,미추홀구,23000,21
28185,연수구,32950,21
28200,남동구,28700,25
28237,부평구,26900,16
28245,계양구,19800,6
28260,서구,27900,13
28710,강화군,16300,-4
